sc_id,msnv_id,num_processed,num_triggered,total,processed/triggered,triggered/total,processed/total
66,74,1,1,1,1.0,1.0,1.0
68,3,3,6,6,0.5,1.0,0.5
68,5,4,4,4,1.0,1.0,1.0
68,9,2,2,2,1.0,1.0,1.0
68,11,1,1,1,1.0,1.0,1.0
68,20,2,2,2,1.0,1.0,1.0
68,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
68,28,4,4,4,1.0,1.0,1.0
68,30,1,1,1,1.0,1.0,1.0
68,60,1,1,2,1.0,0.5,0.5
68,62,2,2,2,1.0,1.0,1.0
68,66,1,1,2,1.0,0.5,0.5
68,72,2,2,2,1.0,1.0,1.0
68,74,1,1,1,1.0,1.0,1.0
69,3,5,5,6,1.0,0.8333333333333334,0.8333333333333334
69,5,4,4,4,1.0,1.0,1.0
69,9,2,2,2,1.0,1.0,1.0
69,11,1,1,1,1.0,1.0,1.0
69,20,2,2,2,1.0,1.0,1.0
69,27,1,1,3,1.0,0.3333333333333333,0.3333333333333333
69,28,4,4,4,1.0,1.0,1.0
69,30,1,1,1,1.0,1.0,1.0
69,60,2,2,2,1.0,1.0,1.0
69,62,2,2,2,1.0,1.0,1.0
69,66,0,0,2,,0.0,0.0
69,72,1,2,2,0.5,1.0,0.5
69,74,1,1,1,1.0,1.0,1.0
71,3,6,6,6,1.0,1.0,1.0
71,5,3,3,4,1.0,0.75,0.75
71,9,2,2,2,1.0,1.0,1.0
71,11,1,1,1,1.0,1.0,1.0
71,20,2,2,2,1.0,1.0,1.0
71,27,3,3,3,1.0,1.0,1.0
71,28,4,4,4,1.0,1.0,1.0
71,30,1,1,1,1.0,1.0,1.0
71,60,2,2,2,1.0,1.0,1.0
71,62,2,2,2,1.0,1.0,1.0
71,66,1,1,2,1.0,0.5,0.5
71,72,2,2,2,1.0,1.0,1.0
71,74,1,1,1,1.0,1.0,1.0
73,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
73,5,0,4,4,0.0,1.0,0.0
73,9,2,2,2,1.0,1.0,1.0
73,11,1,1,1,1.0,1.0,1.0
73,20,1,2,2,0.5,1.0,0.5
73,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
73,28,2,3,4,0.6666666666666666,0.75,0.5
73,30,1,1,1,1.0,1.0,1.0
73,60,0,1,2,0.0,0.5,0.0
73,62,1,1,2,1.0,0.5,0.5
73,66,1,1,2,1.0,0.5,0.5
73,72,1,2,2,0.5,1.0,0.5
73,74,1,1,1,1.0,1.0,1.0
75,3,5,6,6,0.8333333333333334,1.0,0.8333333333333334
75,5,3,4,4,0.75,1.0,0.75
75,9,2,2,2,1.0,1.0,1.0
75,11,1,1,1,1.0,1.0,1.0
75,20,2,2,2,1.0,1.0,1.0
75,27,1,3,3,0.3333333333333333,1.0,0.3333333333333333
75,28,4,4,4,1.0,1.0,1.0
75,30,1,1,1,1.0,1.0,1.0
75,60,2,2,2,1.0,1.0,1.0
75,62,2,2,2,1.0,1.0,1.0
75,66,2,2,2,1.0,1.0,1.0
75,72,2,2,2,1.0,1.0,1.0
75,74,1,1,1,1.0,1.0,1.0
77,3,6,6,6,1.0,1.0,1.0
77,5,4,4,4,1.0,1.0,1.0
77,9,2,2,2,1.0,1.0,1.0
77,11,1,1,1,1.0,1.0,1.0
77,20,2,2,2,1.0,1.0,1.0
77,27,3,3,3,1.0,1.0,1.0
77,28,4,4,4,1.0,1.0,1.0
77,30,1,1,1,1.0,1.0,1.0
77,60,2,2,2,1.0,1.0,1.0
77,62,2,2,2,1.0,1.0,1.0
77,66,2,2,2,1.0,1.0,1.0
77,72,2,2,2,1.0,1.0,1.0
77,74,1,1,1,1.0,1.0,1.0
78,3,6,6,6,1.0,1.0,1.0
78,5,3,4,4,0.75,1.0,0.75
78,9,2,2,2,1.0,1.0,1.0
78,11,1,1,1,1.0,1.0,1.0
78,20,2,2,2,1.0,1.0,1.0
78,27,1,1,3,1.0,0.3333333333333333,0.3333333333333333
78,28,3,3,4,1.0,0.75,0.75
78,30,1,1,1,1.0,1.0,1.0
78,60,1,1,2,1.0,0.5,0.5
78,62,2,2,2,1.0,1.0,1.0
78,66,1,1,2,1.0,0.5,0.5
78,72,2,2,2,1.0,1.0,1.0
78,74,1,1,1,1.0,1.0,1.0
81,3,6,6,6,1.0,1.0,1.0
81,5,0,0,4,,0.0,0.0
81,9,2,2,2,1.0,1.0,1.0
81,11,1,1,1,1.0,1.0,1.0
81,20,2,2,2,1.0,1.0,1.0
81,27,3,3,3,1.0,1.0,1.0
81,28,4,4,4,1.0,1.0,1.0
81,30,1,1,1,1.0,1.0,1.0
81,60,0,0,2,,0.0,0.0
81,62,2,2,2,1.0,1.0,1.0
81,66,2,2,2,1.0,1.0,1.0
81,72,2,2,2,1.0,1.0,1.0
81,74,1,1,1,1.0,1.0,1.0
85,3,3,3,6,1.0,0.5,0.5
85,5,4,4,4,1.0,1.0,1.0
85,9,2,2,2,1.0,1.0,1.0
85,11,1,1,1,1.0,1.0,1.0
85,20,2,2,2,1.0,1.0,1.0
85,27,3,3,3,1.0,1.0,1.0
85,28,3,3,4,1.0,0.75,0.75
85,30,1,1,1,1.0,1.0,1.0
85,60,1,2,2,0.5,1.0,0.5
85,62,2,2,2,1.0,1.0,1.0
85,72,0,1,2,0.0,0.5,0.0
85,74,1,1,1,1.0,1.0,1.0
