,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
770,43,5,5_ref_103_rule,792346,846750.0,853262.0,961185,935028.0,54404.0,17.0,142682.0,88278.0,0
772,43,9,9_ref_101_rule,993745,1013872.0,1022357.0,1041745,1027747.0,20127.0,3.0,34002.0,13875.0,0
775,43,20,20_ref_100_rule,490264,500363.0,511405.0,532211,518861.0,10099.0,5.0,28597.0,18498.0,0
777,43,27,27_ref_103_rule,163507,193839.0,224041.0,263914,195410.0,30332.0,10.0,31903.0,1571.0,1
778,43,27,27_ref_102_rule,163507,224041.0,230319.0,263914,243403.0,60534.0,2.0,79896.0,19362.0,0
780,43,28,28_ref_100_rule,1219964,1227509.0,1231681.0,1280822,1270379.0,7545.0,5.0,50415.0,42870.0,0
781,43,28,28_ref_101_rule,1219964,1231681.0,1238892.0,1280822,1267856.0,11717.0,2.0,47892.0,36175.0,0
782,43,28,28_ref_104_rule,1219964,1238892.0,1244471.0,1280822,1270654.0,18928.0,2.0,50690.0,31762.0,0
785,43,60,60_ref_101_rule,550831,564781.0,581694.0,605951,588530.0,13950.0,3.0,37699.0,23749.0,0
787,43,62,62_ref_100_rule,632233,658394.0,662849.0,726976,692816.0,26161.0,5.0,60583.0,34422.0,0
789,43,66,66_ref_101_rule,1134132,1160177.0,1170269.0,1202926,1178585.0,26045.0,3.0,44453.0,18408.0,0
791,43,72,72_ref_100_rule,71256,84482.0,90386.0,136426,,13226.0,,,,0
794,44,3,3_ref_106_rule,100917,114741.0,188126.0,280350,115907.0,13824.0,15.0,14990.0,1166.0,1
795,44,3,3_ref_101_rule,100917,188126.0,201940.0,280350,188939.0,87209.0,5.0,88022.0,813.0,1
796,44,3,3_ref_100_rule,100917,201940.0,218686.0,280350,203736.0,101023.0,8.0,102819.0,1796.0,1
