,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,seg_end_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time
161,10,72,72_ref_102_rule,47236,67658.0,147633,20422.0,10.0,36849.0,16427.0
162,10,28,28_ref_100_rule,172258,181362.0,265536,9104.0,9.0,37240.0,28136.0
163,10,28,28_ref_101_rule,172258,188707.0,265536,16449.0,4.0,41895.0,25446.0
164,10,28,28_ref_104_rule,172258,194685.0,265536,22427.0,15.0,47983.0,25556.0
165,10,28,28_ref_103_rule,172258,199082.0,265536,26824.0,8.0,55394.0,28570.0
166,10,20,20_ref_100_rule,337552,346402.0,419537,8850.0,17.0,35600.0,26750.0
167,10,20,20_ref_101_rule,337552,354479.0,419537,16927.0,15.0,35284.0,18357.0
168,10,11,11_ref_101_rule,432436,443235.0,539460,10799.0,19.0,54545.0,43746.0
169,10,74,74_ref_101_rule,567083,608091.0,644064,41008.0,5.0,51672.0,10664.0
170,10,5,5_ref_100_rule,662291,690927.0,795580,28636.0,8.0,114319.0,85683.0
171,10,5,5_ref_101_rule,662291,698737.0,795580,36446.0,3.0,122971.0,86525.0
172,10,5,5_ref_103_rule,662291,711028.0,795580,48737.0,9.0,119199.0,70462.0
173,10,5,5_ref_104_rule,662291,728064.0,795580,65773.0,3.0,127609.0,61836.0
174,10,3,3_ref_106_rule,872729,899789.0,1014496,27060.0,6.0,114419.0,87359.0
175,10,3,3_ref_101_rule,872729,932447.0,1014496,59718.0,6.0,113029.0,53311.0
176,10,3,3_ref_100_rule,872729,940057.0,1014496,67328.0,5.0,114086.0,46758.0
177,10,3,3_ref_105_rule,872729,963772.0,1014496,91043.0,9.0,115235.0,24192.0
178,10,3,3_ref_102_rule,872729,969334.0,1014496,96605.0,2.0,120132.0,23527.0
179,10,3,3_ref_104_rule,872729,976471.0,1014496,103742.0,1.0,122356.0,18614.0
180,10,62,62_ref_100_rule,1034008,1060754.0,1142698,26746.0,11.0,95067.0,68321.0
181,10,62,62_ref_101_rule,1034008,1068706.0,1142698,34698.0,6.0,100796.0,66098.0
182,10,66,66_ref_101_rule,1210369,1231770.0,1275789,21401.0,10.0,41221.0,19820.0
183,10,66,66_ref_100_rule,1210369,1239248.0,1275789,28879.0,3.0,37940.0,9061.0
184,10,76,76_ref_101_rule,1289131,1299018.0,1333932,9887.0,,,
185,10,76,76_ref_100_rule,1289131,1309509.0,1333932,20378.0,,,
186,10,30,30_ref_100_rule,1376836,1383077.0,1427400,6241.0,25.0,21227.0,14986.0
187,10,60,60_ref_101_rule,1447944,1475396.0,1497328,27452.0,1.0,43853.0,16401.0
188,10,60,60_ref_100_rule,1447944,1480517.0,1497328,32573.0,22.0,34077.0,1504.0
189,10,27,27_ref_103_rule,1543337,1556600.0,1624820,13263.0,3.0,57501.0,44238.0
190,10,27,27_ref_102_rule,1543337,1582480.0,1624820,39143.0,1.0,64429.0,25286.0
191,10,27,27_ref_104_rule,1543337,1586951.0,1624820,43614.0,6.0,58566.0,14952.0
192,10,9,9_ref_101_rule,1642067,1661850.0,1698743,19783.0,2.0,45351.0,25568.0
193,10,9,9_ref_100_rule,1642067,1667870.0,1698743,25803.0,4.0,43361.0,17558.0
194,12,28,28_ref_100_rule,180949,211970.0,310649,31021.0,1.0,110988.0,79967.0
195,12,28,28_ref_101_rule,180949,215650.0,310649,34701.0,1.0,111655.0,76954.0
196,12,28,28_ref_104_rule,180949,230505.0,310649,49556.0,2.0,77137.0,27581.0
197,12,28,28_ref_103_rule,180949,237067.0,310649,56118.0,1.0,61565.0,5447.0
198,12,62,62_ref_100_rule,343785,379208.0,453816,35423.0,6.0,60149.0,24726.0
199,12,62,62_ref_101_rule,343785,384371.0,453816,40586.0,2.0,43319.0,2733.0
200,12,5,5_ref_100_rule,503049,535447.0,676637,32398.0,1.0,72317.0,39919.0
201,12,5,5_ref_103_rule,503049,549594.0,676637,46545.0,14.0,47459.0,914.0
202,12,5,5_ref_101_rule,503049,594443.0,676637,91394.0,0.0,-1.0,
203,12,5,5_ref_104_rule,503049,618083.0,676637,115034.0,0.0,-1.0,
204,12,74,74_ref_101_rule,711338,737051.0,752767,25713.0,4.0,33044.0,7331.0
205,12,76,76_ref_101_rule,769672,791242.0,845935,21570.0,,,
206,12,76,76_ref_100_rule,769672,803350.0,845935,33678.0,,,
207,12,3,3_ref_106_rule,871126,891466.0,987395,20340.0,5.0,24907.0,4567.0
208,12,3,3_ref_101_rule,871126,912150.0,987395,41024.0,3.0,101129.0,60105.0
209,12,3,3_ref_100_rule,871126,917762.0,987395,46636.0,7.0,100571.0,53935.0
210,12,3,3_ref_105_rule,871126,927904.0,987395,56778.0,0.0,-1.0,
