,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
50,4,28,28_ref_103_rule,968007,989127.0,1013092.0,1013092,997012.0,21120.0,7.0,29005.0,7885.0,1
51,4,30,30_ref_100_rule,54633,64920.0,122510.0,122510,77850.0,10287.0,28.0,23217.0,12930.0,1
52,4,60,60_ref_101_rule,835490,843598.0,853674.0,877061,863029.0,8108.0,5.0,27539.0,19431.0,0
53,4,60,60_ref_100_rule,835490,853674.0,877061.0,877061,858249.0,18184.0,24.0,22759.0,4575.0,1
54,4,62,62_ref_100_rule,406596,429079.0,455978.0,455978,445202.0,22483.0,5.0,38606.0,16123.0,1
55,4,66,66_ref_101_rule,591567,609755.0,612661.0,636386,616958.0,18188.0,12.0,25391.0,7203.0,0
56,4,66,66_ref_100_rule,591567,612661.0,636386.0,636386,620397.0,21094.0,9.0,28830.0,7736.0,1
57,4,72,72_ref_100_rule,322222,341389.0,347209.0,382596,367981.0,19167.0,4.0,45759.0,26592.0,0
58,4,72,72_ref_102_rule,322222,347209.0,382596.0,382596,359920.0,24987.0,9.0,37698.0,12711.0,1
59,4,74,74_ref_101_rule,1103063,1118693.0,1142017.0,1142017,1122489.0,15630.0,11.0,19426.0,3796.0,1
60,5,3,3_ref_106_rule,652535,659184.0,666719.0,727215,694347.0,6649.0,2.0,41812.0,35163.0,0
61,5,3,3_ref_101_rule,652535,666719.0,673048.0,727215,696221.0,14184.0,2.0,43686.0,29502.0,0
62,5,3,3_ref_100_rule,652535,673048.0,678169.0,727215,691807.0,20513.0,5.0,39272.0,18759.0,0
63,5,3,3_ref_105_rule,652535,678169.0,684480.0,727215,692299.0,25634.0,8.0,39764.0,14130.0,0
64,5,3,3_ref_102_rule,652535,684480.0,688585.0,727215,692049.0,31945.0,4.0,39514.0,7569.0,0
65,5,3,3_ref_104_rule,652535,688585.0,727215.0,727215,696704.0,36050.0,5.0,44169.0,8119.0,1
66,5,5,5_ref_101_rule,1053991,1070845.0,1077348.0,1171472,1130585.0,16854.0,1.0,76594.0,59740.0,0
67,5,5,5_ref_103_rule,1053991,1077348.0,1085708.0,1171472,1086943.0,23357.0,5.0,32952.0,9595.0,0
68,5,5,5_ref_104_rule,1053991,1085708.0,1127375.0,1171472,1087309.0,31717.0,3.0,33318.0,1601.0,1
69,5,5,5_ref_100_rule,1053991,1127375.0,1171472.0,1171472,-1.0,73384.0,0.0,-1.0,,0
70,5,9,9_ref_101_rule,338305,353364.0,359335.0,385405,365702.0,15059.0,4.0,27397.0,12338.0,0
71,5,9,9_ref_100_rule,338305,359335.0,385405.0,385405,368942.0,21030.0,10.0,30637.0,9607.0,1
72,5,11,11_ref_101_rule,200268,209943.0,235668.0,235668,225683.0,9675.0,4.0,25415.0,15740.0,1
73,5,20,20_ref_100_rule,51355,58920.0,69228.0,104259,81408.0,7565.0,3.0,30053.0,22488.0,0
74,5,20,20_ref_101_rule,51355,69228.0,104259.0,104259,83565.0,17873.0,19.0,32210.0,14337.0,1
75,5,27,27_ref_103_rule,914246,925059.0,936017.0,964203,942160.0,10813.0,3.0,27914.0,17101.0,0
